timestep,tracking_accuracy,swarm_stability
1,9.040263405679209,2.6942269279088387
2,9.032125703341165,2.674966358046542
3,9.022833293251166,2.6557583642144524
4,9.012812842533066,2.6365996357843455
5,9.006797426978318,2.6174808633216458
6,8.994117624442708,2.5983944537490187
7,8.982527706048092,2.579337483856608
8,8.973281872699616,2.5602992782793215
9,8.968856122037376,2.5412658640465944
10,8.961502075980295,2.5222180644576073
11,8.959808535349689,2.503138179228031
12,8.958070474052546,2.4840005387952533
13,8.966029102268607,2.464774620759466
14,8.977619246245366,2.4454282654957864
15,8.985509915053811,2.425929801641377
16,9.000936302298495,2.4062340080771487
17,9.006062939607004,2.386289510639212
18,9.010627006733076,2.3660323068634126
19,9.013415303567907,2.3453940526176558
20,9.015168609646864,2.3243053961284543
21,9.01820929286438,2.3026923799050034
22,9.021648137656033,2.280459976739137
23,9.0221446614264,2.2575172882158463
24,9.020795473573216,2.233776609770077
25,9.01819607727842,2.209149457508349
26,9.009260886778701,2.1835607486240796
27,8.991437973270674,2.1569443646732984
28,8.964789539122009,2.129246176473836
29,8.935557826484175,2.10043521948268
30,8.900949659725386,2.070506055706585
31,8.864757253123647,2.0394784713944873
32,8.823260437075387,2.007403692504379
33,8.77742599000577,1.9743527699294483
34,8.740240371507701,1.9404029507206724
35,8.698924194764654,1.905657008706094
36,8.669901477120117,1.8702266057838473
37,8.64054178012072,1.8342343767117562
38,8.612382125606263,1.7978012150046612
39,8.593852479187756,1.7610476671474709
40,8.572568004123527,1.72409334471321
41,8.550182405027204,1.6870513272348844
42,8.523742120656015,1.6500395315205005
43,8.494388806891862,1.6131922989848055
44,8.464362283735577,1.5766338024466253
45,8.431643406047133,1.54048046281133
46,8.399773181494659,1.5048619451162857
47,8.361470671440674,1.4698942491088287
48,8.322438901563995,1.435699264556276
49,8.279026944526152,1.4023999030224774
50,8.233253033698002,1.3701153488859952
51,8.194274232026753,1.3389496342864642
52,8.159126227663577,1.308998654716279
53,8.122485804431562,1.2803450176785338
54,8.082311922912321,1.2530370938019124
55,8.048804863301044,1.2270770854873618
56,8.013235400894398,1.2024197392408136
57,7.973960794796622,1.1789598210056758
58,7.930112424849642,1.1565420865725025
59,7.883576436066714,1.1349954880431152
60,7.844955958582508,1.1141687604741035
61,7.798519882300795,1.093979261258466
62,7.762404289317194,1.0744111943174925
63,7.722361583563378,1.0555073512565918
64,7.68229838962886,1.0373396076777837
65,7.6439544951460565,1.0199987741615015
66,7.603498129140625,1.003573528123922
67,7.562482833429668,0.9881559670728329
68,7.525007375961854,0.9738260223514571
69,7.475998899337443,0.9606507229852354
70,7.427905881684866,0.9486882253937968
71,7.377727280460968,0.9379788754594242
72,7.333262901434267,0.9285590128481114
73,7.291225784092994,0.9204501024979085
74,7.2456426760809425,0.913655322958244
75,7.192765920593729,0.9081598546910455
76,7.143872067261571,0.9039302483020084
77,7.099235167400023,0.9009114035895165
78,7.061781549324148,0.8990330653165818
79,7.035532502439021,0.898208272265512
80,7.01027598980882,0.8983297803143766
81,6.992470416118861,0.8992842018024102
82,6.974683868283134,0.9009277979092483
83,6.953841538233625,0.9030999278313984
84,6.931390506318347,0.9056364274607999
85,6.908047530776615,0.9083539698734978
86,6.898518711828015,0.9110543684366722
87,6.88077130623506,0.9135304542985486
88,6.859816890506664,0.9155771066931467
89,6.828968217881825,0.9170156723008736
90,6.803240552988376,0.9176796082865272
91,6.776581087905095,0.9174135991899146
92,6.749234552516444,0.9161168656893409
93,6.7256363296789115,0.9137419705436371
94,6.703553877746468,0.9102876921832445
95,6.674441577964194,0.9057989541811987
96,6.63983893580387,0.900357966820862
97,6.6035592330929855,0.8940895725733061
98,6.567910042985799,0.8871347061690841
99,6.534045388545461,0.8796464134836788
100,6.502895131794932,0.871766446516236
101,6.471292177619157,0.8636315462141602
102,6.4372117996051355,0.8553863854578165
103,6.411032545847467,0.8471607644322576
104,6.384622681092507,0.8390738721277483
105,6.362611419494112,0.8312293359803203
106,6.341207099029998,0.8237186440553512
107,6.3227266197680265,0.8166306195364581
108,6.306511498233563,0.810050928927623
109,6.289218217260406,0.8040587546542651
110,6.2651663775887805,0.7987349302729947
111,6.242584105417739,0.7941668109961209
112,6.213917618532596,0.7904382838306202
113,6.186622640408251,0.78764731566768
114,6.162547074263388,0.7859024093870228
115,6.133382723293627,0.7853128991750528
116,6.097517914820839,0.7860008238671334
117,6.059956985078531,0.7880913521356344
118,6.020714485108125,0.7917069791576357
119,5.986132931741208,0.7968741751178064
120,5.953324922003379,0.8032419652467669
121,5.918929320934306,0.8097971697025267
122,5.88771493574325,0.8155367246991561
123,5.85580290325019,0.8204076718517489
124,5.817406113033712,0.8247431248603002
125,5.777222546438246,0.8287942298703134
126,5.740661046230302,0.8326997054105604
127,5.708974284634229,0.8365229900337225
128,5.67369940591075,0.8402845339618983
129,5.641054152581168,0.8440029271820927
130,5.610505371883586,0.8476801658797957
131,5.577279192838231,0.8513218667630877
132,5.542409865029612,0.8549220535842983
133,5.512586381925386,0.8584818191413216
134,5.4894501480800635,0.8620117741550176
135,5.466729365471503,0.865518221704145
136,5.444395921463401,0.8689948214046583
137,5.417005813963655,0.8724400068098045
138,5.386922717455211,0.8758670876716488
139,5.360729429617247,0.8792931664502452
140,5.335418294590705,0.8827162469286756
141,5.309151043582825,0.8861473118412103
142,5.2855425071068085,0.8895941620508152
143,5.254123082119863,0.8930434635817369
144,5.224237078387018,0.8964854036274191
145,5.192139590502775,0.8999251727942539
146,5.169211001467681,0.9033628166335832
147,5.144489330690434,0.90680344862249
148,5.119537297118856,0.9102402145176385
149,5.093409172303446,0.9136823977446898
150,5.075685905257037,0.9171391967789763
151,5.050284644524471,0.920602614437294
152,5.024629989573549,0.9240568750183074
153,4.993016031754927,0.927499545984771
154,4.9565573429150485,0.930927882615694
155,4.9256631241039965,0.9343574356944477
156,4.885853036107781,0.9377793509717112
157,4.847424628801936,0.94118628307105
158,4.808633887863721,0.9445908907325863
159,4.772766156843697,0.9480114506795346
160,4.733302083601439,0.9514348335008992
161,4.703761875895193,0.9548548130199002
162,4.669309723099983,0.9582530959020688
163,4.628546463936678,0.9616260915635145
164,4.584671910086139,0.9649921377938356
165,4.542255930180749,0.9683708528430105
166,4.493888691514004,0.9717597656604572
167,4.4516035384453065,0.9751659793227749
168,4.412451724935285,0.9785930551256814
169,4.379711731358015,0.9820440285597255
170,4.339178201184808,0.9855000874652521
171,4.295395258072647,0.9889519930403062
172,4.249168806378236,0.9923817043095349
173,4.2012528969513925,0.9957737338579075
